Brand,Variety,Style,Country,Stars
282,1279,5,17,0
163,98,1,33,0
160,898,4,35,0
63,1436,4,0,0
23,2153,5,34,0
28,1320,4,30,0
262,1819,1,18,1
23,2141,5,34,0
44,1501,4,23,0
319,2136,1,32,0
25,633,1,30,0
195,225,1,35,1
192,1749,4,20,1
353,976,5,23,0
31,1460,5,19,1
195,1395,5,30,0
151,1323,5,35,1
161,1176,5,18,1
160,2391,6,35,0
111,2296,5,18,1
192,2284,5,35,0
121,1786,4,34,0
160,32,4,35,0
132,968,5,34,0
153,1545,5,26,1
162,244,5,5,1
79,865,5,35,0
349,1624,1,18,1
108,56,5,19,1
332,1670,5,33,0
249,2401,1,30,1
23,2146,5,34,0
192,751,1,18,1
192,2280,5,35,0
192,438,4,18,0
238,1809,5,35,1
192,2283,5,35,1
195,784,5,35,1
120,931,5,29,0
263,249,5,5,1
253,1695,5,5,1
154,532,4,33,1
277,153,1,33,0
157,1600,1,33,0
186,798,5,18,1
192,2203,5,14,1
195,2087,4,30,1
16,1800,5,22,0
110,1760,5,17,1
192,583,4,14,1
157,1344,5,33,0
308,1109,5,18,1
240,1160,5,37,0
353,989,5,23,0
245,1337,5,18,1
332,921,5,16,0
266,310,5,30,0
195,280,5,30,1
147,79,4,33,0
192,1983,5,11,1
157,916,5,33,1
192,512,4,14,1
6,1867,5,17,1
192,625,5,14,1
160,887,4,35,0
192,586,5,18,0
314,1773,5,32,1
334,707,5,32,0
192,1745,1,18,1
195,215,1,35,0
192,605,5,18,0
157,1073,4,33,0
330,777,5,37,0
284,425,4,30,0
329,109,5,37,0
192,2376,6,18,1
240,1167,1,37,0
43,1297,5,19,0
160,862,5,18,1
11,771,5,32,1
24,1275,5,37,1
225,1953,5,29,1
29,786,4,4,0
192,1652,5,29,0
337,0,5,32,0
195,1064,5,30,1
240,1171,1,37,0
55,76,5,5,1
183,2310,1,35,0
327,82,5,32,0
105,2082,5,5,0
11,662,5,32,0
192,1543,6,35,0
192,579,1,14,1
192,125,4,18,0
195,1396,5,30,1
134,2088,4,29,0
82,1713,1,35,0
248,834,5,30,1
254,2266,5,35,1
339,147,5,4,0
192,372,6,35,0
160,749,1,18,1
162,1939,5,5,0
322,923,5,5,0
183,1234,1,18,0
327,1163,1,32,0
249,2104,5,30,1
350,2324,5,33,0
254,1931,4,35,0
208,1321,5,30,1
328,1352,5,32,0
307,1055,1,18,0
104,2231,5,5,1
264,2185,5,5,0
338,1332,5,35,0
26,989,5,15,0
249,1376,5,30,1
23,2144,5,34,0
168,2178,5,17,1
120,1947,1,29,1
333,1769,1,30,0
7,2135,1,18,0
73,1971,5,18,0
192,642,1,18,0
318,37,1,32,1
190,2127,1,18,1
176,816,4,34,1
195,214,1,35,1
195,2301,5,30,1
183,2311,1,35,0
82,2382,1,35,1
118,193,5,32,1
192,600,5,18,1
192,2097,5,35,0
210,184,4,19,0
330,1319,5,37,0
155,18,5,9,0
253,1420,1,14,0
67,557,1,30,1
110,1260,5,17,0
134,544,5,29,1
16,1801,5,22,1
160,889,4,35,0
183,1684,5,29,0
181,1561,4,19,1
255,1996,5,17,1
192,2317,4,18,0
319,10,5,32,0
300,2103,1,35,0
208,1383,5,30,1
