Brand,Variety,Style,Country,Stars
282,1279,5,17,medium
163,98,1,33,medium
160,898,4,35,low
63,1436,4,0,very_low
23,2153,5,34,medium
28,1320,4,30,low
262,1819,1,18,high
23,2141,5,34,very_low
44,1501,4,23,very_low
319,2136,1,32,medium
25,633,1,30,low
195,225,1,35,medium
192,1749,4,20,medium
353,976,5,23,low
31,1460,5,19,high
195,1395,5,30,medium
151,1323,5,35,medium
161,1176,5,18,medium
160,2391,6,35,low
111,2296,5,18,high
192,2284,5,35,medium
121,1786,4,34,medium
160,32,4,35,medium
132,968,5,34,medium
153,1545,5,26,high
162,244,5,5,high
79,865,5,35,low
349,1624,1,18,high
108,56,5,19,high
332,1670,5,33,low
249,2401,1,30,medium
23,2146,5,34,low
192,751,1,18,high
192,2280,5,35,low
192,438,4,18,medium
238,1809,5,35,medium
192,2283,5,35,medium
195,784,5,35,high
120,931,5,29,medium
263,249,5,5,high
253,1695,5,5,high
154,532,4,33,high
277,153,1,33,low
157,1600,1,33,medium
186,798,5,18,medium
192,2203,5,14,high
195,2087,4,30,high
16,1800,5,22,very_low
110,1760,5,17,high
192,583,4,14,medium
157,1344,5,33,medium
308,1109,5,18,high
240,1160,5,37,medium
353,989,5,23,medium
245,1337,5,18,high
332,921,5,16,low
266,310,5,30,low
195,280,5,30,medium
147,79,4,33,medium
192,1983,5,11,high
157,916,5,33,medium
192,512,4,14,medium
6,1867,5,17,high
192,625,5,14,high
160,887,4,35,low
192,586,5,18,medium
314,1773,5,32,high
334,707,5,32,very_low
192,1745,1,18,high
195,215,1,35,medium
192,605,5,18,low
157,1073,4,33,low
330,777,5,37,medium
284,425,4,30,low
329,109,5,37,medium
192,2376,6,18,high
240,1167,1,37,medium
43,1297,5,19,medium
160,862,5,18,medium
11,771,5,32,high
24,1275,5,37,medium
225,1953,5,29,high
29,786,4,4,low
192,1652,5,29,medium
337,0,5,32,medium
195,1064,5,30,high
240,1171,1,37,low
55,76,5,5,medium
183,2310,1,35,medium
327,82,5,32,medium
105,2082,5,5,low
11,662,5,32,medium
192,1543,6,35,medium
192,579,1,14,high
192,125,4,18,low
195,1396,5,30,medium
134,2088,4,29,medium
82,1713,1,35,low
248,834,5,30,high
254,2266,5,35,high
339,147,5,4,very_low
192,372,6,35,low
160,749,1,18,medium
162,1939,5,5,medium
322,923,5,5,medium
183,1234,1,18,medium
327,1163,1,32,medium
249,2104,5,30,medium
350,2324,5,33,medium
254,1931,4,35,low
208,1321,5,30,high
328,1352,5,32,low
307,1055,1,18,low
104,2231,5,5,high
264,2185,5,5,very_low
338,1332,5,35,very_low
26,989,5,15,medium
249,1376,5,30,high
23,2144,5,34,medium
168,2178,5,17,medium
120,1947,1,29,high
333,1769,1,30,low
7,2135,1,18,very_low
73,1971,5,18,medium
192,642,1,18,medium
318,37,1,32,medium
190,2127,1,18,high
176,816,4,34,high
195,214,1,35,medium
195,2301,5,30,medium
183,2311,1,35,low
82,2382,1,35,high
118,193,5,32,medium
192,600,5,18,medium
192,2097,5,35,medium
210,184,4,19,medium
330,1319,5,37,medium
155,18,5,9,medium
253,1420,1,14,low
67,557,1,30,high
110,1260,5,17,medium
134,544,5,29,high
16,1801,5,22,high
160,889,4,35,low
183,1684,5,29,low
181,1561,4,19,high
255,1996,5,17,medium
192,2317,4,18,low
319,10,5,32,medium
300,2103,1,35,low
208,1383,5,30,high
147,1362,1,33,high
257,975,5,34,very_low
286,1883,1,32,high
108,1183,5,19,medium
43,1296,5,19,low
160,1708,5,35,medium
266,251,5,30,medium
162,86,5,5,medium
183,398,5,18,medium
330,1119,5,37,low
350,303,5,33,medium
13,1689,5,35,medium
254,2194,1,18,medium
206,2396,5,30,high
326,119,4,34,low
116,102,5,5,medium
295,680,4,34,very_low
14,553,5,19,high
157,1929,5,33,high
181,1579,2,19,high
153,2176,1,26,medium
292,2349,1,35,very_low
48,1092,1,35,high
42,205,1,5,low
4,773,5,32,high
342,2071,5,32,medium
332,2014,5,33,medium
51,188,5,32,medium
10,311,5,18,medium
329,996,5,37,medium
208,2027,5,30,medium
208,254,5,30,high
165,2219,1,18,medium
330,778,4,37,low
155,1264,5,19,medium
192,483,4,35,high
110,141,5,17,medium
167,1592,5,19,medium
254,2193,1,18,medium
206,1878,1,30,medium
34,904,5,32,medium
329,2218,5,37,low
46,1555,5,19,medium
162,78,5,5,medium
163,2015,1,33,medium
192,632,5,14,low
346,1380,5,35,high
4,2347,5,32,high
318,1213,1,32,high
147,2192,1,33,medium
160,200,1,35,medium
84,2025,5,5,medium
208,1142,5,30,high
192,443,4,14,medium
192,381,6,35,low
332,2252,5,33,low
289,695,5,18,medium
16,716,5,22,medium
219,2184,4,34,medium
341,1628,5,32,low
174,2055,5,32,high
350,669,5,33,medium
192,570,1,18,high
320,868,5,32,very_low
329,1286,1,37,medium
192,430,4,18,high
192,1736,5,18,high
162,112,5,5,medium
86,30,5,37,low
249,258,4,30,medium
182,1207,5,19,high
259,728,1,18,high
194,1605,1,37,low
131,1040,5,14,low
162,92,5,5,medium
13,2001,1,35,high
52,65,5,14,low
77,1310,5,17,medium
336,705,5,32,high
208,648,6,30,medium
162,309,5,5,high
183,1018,6,18,high
110,1271,5,17,high
208,1385,1,30,high
257,965,5,19,low
168,1294,5,17,high
208,1732,5,30,high
52,919,5,14,medium
320,698,5,32,medium
295,679,4,34,low
51,1621,5,32,high
36,1935,5,35,high
192,490,5,2,high
237,417,5,33,high
192,1116,1,18,high
190,2188,4,18,medium
248,404,5,30,low
51,50,5,32,low
183,2400,6,18,medium
19,1942,5,5,low
155,1349,5,16,medium
183,2304,5,18,medium
346,1822,5,35,high
192,505,4,20,medium
272,2096,5,5,low
152,2130,5,32,medium
268,2262,4,29,medium
206,1335,5,30,low
195,1905,4,30,high
192,608,5,14,medium
110,543,5,17,high
282,1861,5,17,medium
216,1457,5,10,medium
192,640,1,18,high
178,1039,5,30,low
332,974,5,16,medium
124,68,5,14,medium
123,1417,1,14,medium
160,1308,1,18,high
77,14,5,17,medium
97,753,5,17,high
275,1444,4,0,medium
192,1449,5,14,high
183,305,1,29,medium
328,2354,1,32,high
73,1763,5,18,medium
160,1699,5,35,medium
341,2112,5,32,medium
153,2046,5,26,high
330,1472,5,37,medium
110,1263,5,17,high
137,2267,5,18,low
134,2258,5,29,high
157,1099,5,33,low
254,308,5,35,medium
299,2410,6,35,high
6,1244,4,17,medium
77,1876,5,17,medium
159,1014,5,19,medium
192,569,1,18,high
7,1036,4,18,medium
116,2077,5,5,high
51,45,5,32,medium
161,768,5,18,high
154,882,5,33,medium
192,2204,5,18,high
262,1088,5,35,low
328,130,5,32,medium
289,2374,5,18,medium
298,2102,5,35,medium
16,1148,5,22,medium
61,568,5,30,medium
176,655,4,34,low
35,1009,5,14,very_low
192,2279,5,35,medium
337,2,5,32,medium
195,1903,5,30,medium
116,88,5,5,medium
157,880,4,33,medium
154,870,1,33,medium
155,21,5,16,medium
279,1242,5,32,low
159,1803,5,19,medium
275,1447,4,0,low
263,1611,1,5,medium
197,2340,5,19,high
243,335,5,35,medium
183,1722,1,18,high
233,811,5,18,very_low
162,1361,5,5,medium
321,1013,5,32,very_low
192,527,4,35,low
118,53,5,32,medium
160,1866,1,18,high
324,1826,5,13,medium
192,469,5,18,medium
261,1920,5,25,low
160,33,5,35,medium
331,1305,5,19,medium
6,1239,5,17,medium
163,1428,1,33,low
241,139,5,34,medium
192,528,4,5,medium
171,1827,5,37,medium
331,2215,5,19,high
255,1997,5,17,high
195,2221,4,30,high
248,1848,5,30,low
110,2041,5,17,high
134,1277,5,29,medium
192,1177,1,18,high
231,1785,6,30,low
230,183,5,26,low
55,1227,5,5,medium
263,358,5,5,high
181,1585,5,19,high
192,347,4,33,medium
80,762,1,30,low
192,525,4,35,high
195,1810,6,30,high
249,1377,1,30,high
160,1988,5,20,medium
192,458,4,11,medium
138,157,5,18,high
110,1259,5,17,medium
11,2197,5,32,high
319,11,5,32,medium
258,1853,1,30,high
207,127,5,18,medium
227,1407,5,30,high
327,1194,5,37,high
263,359,5,5,medium
110,1251,5,17,high
170,846,5,30,medium
84,2021,4,5,medium
208,2016,5,30,low
192,612,5,14,high
183,1229,5,29,high
157,90,5,33,low
208,1924,4,18,medium
206,1727,5,20,medium
5,2004,5,19,medium
155,839,5,16,medium
195,1086,5,30,high
168,1295,5,17,medium
109,1371,1,18,high
162,113,5,5,medium
336,983,5,32,high
192,432,4,18,high
132,2217,5,34,medium
249,1816,4,30,medium
74,1411,5,14,medium
330,162,1,37,high
153,1197,5,26,very_low
100,2265,5,18,high
174,1488,5,32,high
240,1170,1,37,low
108,783,5,19,medium
245,39,5,18,medium
8,1303,5,19,medium
63,1435,4,0,medium
177,1440,4,4,very_low
318,1210,1,32,high
44,1502,5,23,low
286,1884,1,32,high
261,1922,5,25,medium
326,118,4,34,very_low
110,1257,5,17,high
195,221,1,35,medium
51,48,5,32,medium
88,327,5,4,medium
195,1987,5,30,high
4,908,5,32,high
249,1815,5,30,high
195,1857,4,30,very_low
7,1836,4,18,medium
160,1862,1,18,high
192,488,4,6,low
192,425,4,18,high
123,657,6,14,high
192,588,1,14,medium
113,1152,5,18,high
160,1701,5,35,low
7,1035,4,18,low
192,479,5,29,high
192,442,4,18,high
93,1892,5,5,medium
192,2271,5,16,high
192,177,4,14,high
168,1317,5,17,high
18,1097,5,4,very_low
329,850,1,37,medium
192,615,5,18,medium
280,548,4,19,low
350,1077,5,33,high
183,2399,6,18,high
327,1155,1,32,medium
275,1437,4,0,medium
153,2170,1,26,medium
343,2260,5,5,high
167,1594,5,19,medium
208,256,5,30,high
192,493,4,20,medium
74,315,5,14,medium
192,237,1,35,medium
330,1469,5,37,medium
195,1896,1,30,medium
110,1257,5,17,high
330,1120,6,37,medium
81,2030,1,18,medium
330,1121,5,37,low
192,468,4,14,high
252,116,1,18,high
192,1235,1,18,high
51,46,5,32,high
176,2199,4,34,low
16,689,5,22,medium
192,276,5,18,high
275,1441,4,0,high
208,2123,5,30,medium
160,2390,6,35,low
192,511,4,11,medium
160,1480,5,18,medium
336,1033,5,32,medium
159,685,4,19,low
302,885,5,28,high
237,971,5,33,medium
192,173,4,35,medium
329,849,1,37,medium
157,1005,5,33,high
220,1348,5,1,medium
218,2051,5,17,medium
208,164,5,30,high
341,144,5,32,high
71,827,6,35,medium
325,1356,5,18,very_low
72,1372,1,18,medium
219,349,4,34,low
183,2042,5,18,very_low
118,52,5,32,high
77,1311,5,17,medium
153,2168,1,26,low
132,967,5,34,medium
55,761,1,5,high
192,346,5,33,high
336,739,5,32,low
182,1203,5,19,high
110,1484,5,24,very_low
192,629,5,18,medium
208,1386,1,30,medium
206,1615,5,30,medium
61,568,4,30,medium
329,1399,4,37,medium
157,81,5,33,very_low
330,1470,5,37,medium
176,1893,4,34,high
23,2155,1,34,low
329,2350,1,37,high
153,2047,5,26,medium
160,1707,5,35,low
157,1934,4,21,medium
254,1531,4,35,medium
154,1728,5,21,low
52,1612,5,14,high
13,2003,1,35,medium
116,822,5,5,medium
49,2208,4,18,medium
192,2275,5,35,medium
78,842,5,37,medium
192,2276,5,35,high
127,1037,1,32,very_low
