track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,in_spotify_charts
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15,5153,244585109,102,53,113,12,0.0,137,0.0,Major,74,71,89,24,61,15,5,6
Dawn FM,The Weeknd,1,2022,1,7,811,53933526,1,8,6,0,0.0,78,0.0,Minor,27,10,49,62,0,49,5,0
Tattoo,Loreen,1,2023,2,25,2988,201660859,74,102,145,18,925.0,150,0.0,Minor,55,30,78,24,0,12,8,59
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,1230675890,216,108,331,26,154.0,131,0.0,Major,71,24,47,1,0,27,9,42
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,250305248,28,89,29,5,82.0,150,0.0,Major,68,14,76,4,0,10,4,38
Right On,Lil Baby,1,2022,4,8,1116,101780047,31,9,15,0,1.0,166,0.0,Major,70,22,61,2,0,10,34,0
Notice Me,SZA,1,2022,12,9,819,62019074,14,22,0,0,0.0,160,0.0,Major,72,78,68,28,0,11,12,0
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,841749534,61,96,790,2,116.0,94,0.0,Major,37,17,47,2,46,11,3,17
Feliz Navidad,Josï¿½ï¿½ Felic,1,1970,11,1,3788,520034544,21,3,10,0,0.0,148,0.0,Major,50,96,82,47,0,34,4,0
Vista Al Mar,Quevedo,1,2022,9,8,1769,362361576,16,19,21,3,4.0,105,0.0,Minor,76,49,56,80,12,10,13,34
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,94005786,7,29,3,0,0.0,150,0.0,Minor,73,71,69,53,0,32,9,0
Selfish,PnB Rock,1,2016,6,23,2468,380319238,15,0,0,0,0.0,102,0.0,Minor,64,4,60,11,0,19,4,0
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,863756573,209,54,710,0,18.0,123,0.0,Major,82,80,86,1,0,30,13,0
